propertyType,rooms,size,buildYear,cluster_100m,adj_price,cluster_1000m,avg_adjusted_sqm_price_100m,avg_adjusted_sqm_price_1000m
3,2.0,58,1908,5,3134479,0,54042,45759
3,2.0,58,2019,20,3286147,0,56657,51831
3,2.0,62,2017,0,2932254,0,47294,47731
3,3.0,91,1929,8,4524772,0,49721,40575
3,3.0,82,1970,35,2146612,0,26177,25664
3,3.0,86,2020,1,3538928,0,41149,44189
3,3.0,120,2018,73,6167846,0,51398,45672
3,3.0,93,1896,1,3437815,0,36965,44189
3,2.0,61,1936,1,2603640,0,42682,44189
3,4.0,114,1962,28,2659251,0,23326,26673
3,2.0,58,1934,1,2103134,0,36260,44189
3,3.0,73,1927,1,3235591,0,44322,44189
3,3.0,102,1943,4,2805864,0,27507,32232
3,4.0,96,1925,1,4042467,0,42108,44189
3,3.0,95,2016,0,4042467,0,42552,47731
3,3.0,80,1939,1,3225480,0,40318,44189
3,3.0,82,2001,16,3286147,0,40074,40642
3,3.0,93,2022,20,5106167,0,54904,51831
3,3.0,81,1962,3,2426693,0,29958,42193
3,2.0,60,1926,1,2603640,0,43393,44189
3,2.0,63,1901,1,2515672,0,39931,44189
3,3.0,124,1979,74,2628918,0,21200,23247
3,3.0,63,1913,1,2730030,0,43333,44189
3,3.0,78,1945,75,2782608,0,35674,33902
3,3.0,135,2022,0,6774519,0,50180,47731
3,3.0,77,1934,1,2730030,0,35453,44189
3,3.0,95,1969,38,1921132,0,20222,22480
3,4.0,84,1967,15,2325581,0,27684,37312
3,2.0,58,1960,32,1830131,0,31553,35933
